"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"February 7, 2020","Joey Clementi Jr","yes","-","Smashed face on arrival","Face came in smashed.  Was looking forward to buying more for my employees but I thought a four dollar watch would last one day.  Thought wrong","1","-","-","https://www.amazon.com/gp/customer-reviews/R2789UX9NHTBO1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XNYQBFT","Color: black black"
"February 18, 2020","ian maynus","yes","-","Not a good buy","Terribly cheap and turns my wrist green","1","-","-","https://www.amazon.com/gp/customer-reviews/R1JQ8BPS931B7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XJN1QBJ","Color: rose gold &amp; black"
"February 12, 2020","Roni Elovitch","yes","-","The band tarnished","The watch itself is great but the band tarnished within the first few weeks","2","https://images-na.ssl-images-amazon.com/images/I/71e7OYPWsWL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3NLG76LYPCBQY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XJN1QBJ","Color: rose gold &amp; black"
"January 28, 2020","ORAZIO S.","yes","-","Buen producto","Muy lindos","5","-","-","https://www.amazon.com/gp/customer-reviews/R1XW9UL3EBFD3D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XJN1QBJ","Color: rose gold &amp; black"
"February 12, 2020","Monica Gallegos","yes","-","Good quality","It looked real nice on my husband.","5","-","-","https://www.amazon.com/gp/customer-reviews/R2LZOLR5KRRQEV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XNYQBFT","Color: black black"
"January 6, 2020","Araceli colmenero","yes","-","Mal producto","Quebrado","1","-","-","https://www.amazon.com/gp/customer-reviews/R1IE3W0RMNR7ZF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XNYZFYQ","Color: silver black"
"December 30, 2019","Amaan  Shaik","yes","-","Good","Nice","5","-","-","https://www.amazon.com/gp/customer-reviews/RJ0QV8PBK1ZVA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XNYZFYQ","Color: silver black"
"February 21, 2020","Natasha Remekie","yes","-","Everyone that see it loves it","Yes","5","-","-","https://www.amazon.com/gp/customer-reviews/R2B43593D96YCH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XNYZFYQ","Color: silver black"
"February 5, 2020","Jimit","yes","-","Don’t Buy.","Garbage...","1","-","-","https://www.amazon.com/gp/customer-reviews/R2GHS75S3TGPZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XNYZFYQ","Color: silver black"
"January 5, 2020","Wendy Riley","-","-","Nice gift","The watch was a gift and the person I bought it for loved it.","4","-","-","https://www.amazon.com/gp/customer-reviews/R1P25AXFWO3WHM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07XJN1QBJ","B07XJN1QBJ","Color: rose gold &amp; black"
